Index,Holder,Week,Age,Customer Age,Active Sum,Average Long GIC Rate,Average Long GIC Rank,Average Short GIC Rate,Average Short GIC Rank,SAV,SAV Rank,Average CSH Rate,Average CSH Rank,Average Contract,Average Interest,Average Term,Balance,Average Balance,Balance Volatility,Time to Balance,Average Number of Transactions,Average Transaction Average,Average Time to Transaction,GIC Purchase,GIC Renewal
40,34317,0,43465,43465,8,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,15081.33,2.8,366,0,0,0,0,1,15081.33,366,FALSE,FALSE
41,34432,0,43465,43465,11,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,42958.68,3.02,1238.56,0,0,0,0,1.22,22454.79,568.44,FALSE,FALSE
42,34637,0,26463,2742,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,45000,2.67,1643.5,1.25,-570.06,10.28,7,1,0,0,FALSE,FALSE
43,34848,0,28506,2742,24,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,16152.53,2.81,663.89,0.45,267.17,21.05,23.86,1.26,11942,548.21,FALSE,FALSE
44,34909,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,6540.47,2.88,365.5,0,0,0,0,1,6540.47,365.5,FALSE,FALSE
45,35002,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10968.4,3.23,1827,0.05,-0.12,0.47,27.75,1,4301.74,1217.67,FALSE,FALSE
46,35016,0,27434,2742,11,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,19126,2.9,1460.83,26.66,1301.29,41.52,19.5,1,15792.66,1400,FALSE,FALSE
47,35057,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,95000,2.95,1096.5,0,0,0,0,1,0,0,FALSE,FALSE
48,35758,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,21300.78,3.22,1826.67,0.07,-0.97,1.17,27.83,1,4300.78,1218,FALSE,FALSE
49,36272,0,43465,43465,10,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,24705.77,2.74,731.33,12.18,963.98,38.28,3.27,1.33,17809.02,426.17,FALSE,FALSE
50,36275,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,15843.76,2.25,1270,0,0,0,0,1,15843.76,1270,FALSE,FALSE
51,36316,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,1739.38,2.92,365.5,0,0,0,0,1,1739.38,365.5,FALSE,FALSE
52,36721,0,43465,43465,14,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18157.39,3.19,1827,0,0,0,0,1,2228.92,664.36,FALSE,FALSE
53,36806,0,30668,2742,8,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,32150.8,2.72,476,1183.9,1275.51,25.03,16.22,1.2,8868.32,73.2,FALSE,FALSE
54,37176,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,25904.35,2.33,366.5,0,0,0,0,1,25904.35,366.5,FALSE,FALSE
55,37292,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,6399.19,2.92,365,0,0,0,0,1.5,6399.19,365,FALSE,FALSE
56,37497,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,20439.64,2.86,548,0,0,0,0,1,20439.64,548,FALSE,FALSE
57,37800,0,43465,43465,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18789.53,2.72,741.75,0,0,0,0,1.25,1414.53,284.25,FALSE,FALSE
58,37872,0,29223,2742,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,0,0,0,100000,73631.63,191.08,26,0,0,0,FALSE,FALSE
59,37874,0,29851,2742,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,0,0,0,75000,66979.08,107.85,18,0,0,0,FALSE,FALSE
60,37913,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,15000,3.1,1827,0,0,0,0,1,5000,913.5,FALSE,FALSE
61,38002,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,1305.75,2.9,730.5,0,0,0,0,1.5,1305.75,730.5,FALSE,FALSE
62,38005,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,14317.73,2.81,1096.25,0,0,0,0,1.25,14317.73,1096.25,FALSE,FALSE
63,38180,0,43465,43465,28,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,12627.91,2.53,374.09,4.47,1339.65,44.84,9.5,1.04,8401.83,238.7,FALSE,FALSE
64,38865,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,17936.4,3.03,365,0,0,0,0,1.5,17936.4,365,FALSE,FALSE
65,39032,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,20375.55,2.79,365.75,0,0,0,0,1,0,0,FALSE,FALSE
66,39152,0,43465,43465,20,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10286.2,2.96,1354.47,10000,683.62,40.49,17.63,1.06,10286.2,1354.47,FALSE,FALSE
67,39188,0,26167,2742,15,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8955.64,2.98,1778.31,0,0,0,0,1.08,1801.8,232.54,FALSE,FALSE
68,39636,0,28227,2742,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4665.59,2.93,1583,2700,2341.54,24.38,14,1,0,0,FALSE,FALSE
69,39838,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,31738.87,2.62,639,-1710,-97.28,18.38,8.71,1,31738.87,639,FALSE,FALSE
70,39881,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,43358.43,2.8,365.75,0,0,0,0,1,43358.43,365.75,FALSE,FALSE
71,39962,0,17625,2742,6,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,17798.95,2.99,1005.25,15000,13416.94,47.87,16,1,11798.95,867.75,FALSE,FALSE
72,39970,0,43465,43465,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,7000,2.6,368,0,0,0,0,1,0,0,FALSE,FALSE
73,40167,0,43465,43465,9,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,27240.79,2.82,570.75,0,0,0,0,1,0,0,FALSE,FALSE
74,40276,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,12192.16,2.64,548.25,0,0,0,0,1,12192.16,548.25,FALSE,FALSE
75,40342,0,26316,2742,12,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,14001.84,2.85,481.44,0.02,66.44,12.65,20.81,1.22,2174.88,94.56,FALSE,FALSE
76,40542,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10076.67,2.78,1339.33,0,0,0,0,1,3333.33,121.67,FALSE,FALSE
77,40756,0,43465,43465,10,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,50536.11,3.1,782.86,0,0,0,0,1,5508.57,104.86,FALSE,FALSE
78,40835,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,41306.26,3.5,1827,0,0,0,0,1,41306.26,1827,FALSE,FALSE
79,40927,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10856.83,2.97,1461,0.05,566.11,27.94,25.62,2.25,3356.83,91.25,FALSE,FALSE
80,40979,0,18982,2742,15,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,5601.42,3.21,1826.25,-7000,2325.78,60.23,14.79,1,1689.58,1369.67,FALSE,FALSE
81,40983,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,3687.85,3.24,1826.2,0,0,0,0,1,3687.85,1826.2,FALSE,FALSE
82,40996,0,30996,2742,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8333.33,2.82,1096.33,3000,1075.47,50.27,2,1,0,0,FALSE,FALSE
83,41009,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,11184.92,2.5,1785,0,0,0,0,1,11184.92,1785,FALSE,FALSE
84,41158,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10810.45,2.77,1096,0,0,0,0,1,10810.45,1096,FALSE,FALSE
85,41315,0,25900,2742,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10000,2.75,731,0,0,0,0,1,0,0,FALSE,FALSE
86,41482,0,28974,2742,28,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8241.69,3.01,1826.72,0,0,0,0,1,1921.69,219.16,FALSE,FALSE
87,41553,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,23262.98,2.32,365.5,0,0,0,0,1.25,23262.98,365.5,FALSE,FALSE
88,41710,0,26481,2742,16,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,9664.28,2.99,1366.18,0,5998.55,53,35.44,1.09,5346.1,1200.18,FALSE,FALSE
89,41800,0,27794,2742,12,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,53694.99,2.83,457.38,0.01,2268.54,63.12,17.33,1.25,4276.14,183.12,FALSE,FALSE
90,42059,0,26429,2742,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,19845.75,3.12,1553.25,6000,-5320.75,30.61,3,1,3458.5,913.5,FALSE,FALSE
91,42116,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8000,2.95,548.5,0,0,0,0,1,0,0,FALSE,FALSE
92,42209,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10335.39,2.75,366.5,0,0,0,0,1.17,10335.39,366.5,FALSE,FALSE
93,42211,0,43465,43465,19,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,13900.98,3.05,974.07,-5131.26,1005.07,45.69,8.73,1.07,0,0.07,FALSE,FALSE
94,42294,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,59711.44,3,1462,0,0,0,0,1,0,0,FALSE,FALSE
95,42295,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE
96,42387,0,43465,43465,11,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,9942.59,2.84,731.45,0,0,0,0,1,6306.23,615.09,FALSE,FALSE
97,42673,0,43465,43465,21,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,20925.75,2.74,650.22,0,0,0,0,1,3676.75,355.56,FALSE,FALSE
98,42891,0,18062,2742,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4333.33,3.22,976,16000,14227.68,50.44,9.6,1,3333.33,792,FALSE,FALSE
99,42953,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18853,2.97,1097.4,0,0,0,0,1,18853,1097.4,FALSE,FALSE
100,44163,0,21782,2742,8,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,23383.22,3.01,653.14,5000,1143.45,38,15.89,1,5704.7,391.86,FALSE,FALSE
101,44576,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,5723.78,2.85,549,0,0,0,0,1,5723.78,549,FALSE,FALSE
102,45142,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,5945.75,3.33,1826,0,0,0,0,1.5,5945.75,1826,FALSE,FALSE
103,45735,0,43465,43465,9,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18547.62,3.04,1826.57,0,0,0,0,1,18547.62,1826.57,FALSE,FALSE
104,46237,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,12036.06,2.88,1199,0,0,0,0,1,12036.06,1199,FALSE,FALSE
105,46240,0,29035,2742,17,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,24777.7,2.98,1236.69,6000,226.43,19.7,27.38,1,7429.18,955.62,FALSE,FALSE
106,46278,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,32500,2.62,547.5,0,0,0,0,1,32500,547.5,FALSE,FALSE
107,46322,0,43465,43465,52,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,22482.93,2.82,513.18,0,0,0,0,1,7171.06,423.55,FALSE,FALSE
108,46554,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,93714.76,2.77,365.5,0,0,0,0,1.5,0,0,FALSE,FALSE
109,46658,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,104447.96,2.9,913,0,0,0,0,1,0,0,FALSE,FALSE
110,46785,0,43465,43465,14,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,17798.97,2.8,365.75,0,0,0,0,1.08,13114.36,304.83,FALSE,FALSE
111,47176,0,30031,2742,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,48561.06,2.77,457.5,0.01,928.92,41.27,25.69,1,0,0,FALSE,FALSE
112,47370,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,191.53,2.19,60.57,0,0,0,0,1.71,191.53,60.57,FALSE,FALSE
113,47525,0,43465,43465,4,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,27974.99,2.78,1326.33,0,0,0,0,4.67,27974.99,1326.33,FALSE,FALSE
114,47709,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,11954.27,2.8,365,0,0,0,0,1,11954.27,365,FALSE,FALSE
115,47715,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,49192.97,2.7,365.5,0,0,0,0,1.5,49192.97,365.5,FALSE,FALSE
116,48327,0,43465,43465,7,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,27604.71,2.7,365.67,0,0,0,0,1,2604.71,243.83,FALSE,FALSE
117,48376,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,36933.74,2.7,685.5,0,0,0,0,1.25,0,0.25,FALSE,FALSE
118,48650,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4085.85,2.1,60.5,0,0,0,0,1.75,4085.85,60.5,FALSE,FALSE
119,48730,0,43465,43465,1,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,0,0,0,1.5,490.85,24.25,27.83,0,0,0,FALSE,FALSE
120,48780,0,43465,43465,5,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4785.08,2.78,366.5,0,0,0,0,1.25,4785.08,366.5,FALSE,FALSE
121,48916,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,19257.8,3.25,1826,0,0,0,0,4,19257.8,1826,FALSE,FALSE
122,48944,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,4708.66,2.77,365.5,0,0,0,0,1,4708.66,365.5,FALSE,FALSE
123,48967,0,43465,43465,16,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,28852.49,2.75,365.8,0,0,0,0,1.27,11422.99,122.53,FALSE,FALSE
124,49049,0,43465,43465,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,8946.01,3.33,1827,0,0,0,0,1.5,8946.01,1827,FALSE,FALSE
125,49185,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,2623.22,2.88,365.5,0,0,0,0,1,2623.22,365.5,FALSE,FALSE
126,49262,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,1947.79,2.88,365.5,0,0,0,0,1,1947.79,365.5,FALSE,FALSE
127,49477,0,43465,43465,15,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,10787.6,2.17,90.93,0,0,0,0,1.6,10787.6,90.93,FALSE,FALSE
128,49512,0,25566,2742,3,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,50000,3,550,50000,36446.21,135.33,22.6,1,0,0,FALSE,FALSE
129,49582,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,18934.13,2.97,1096,0,0,0,0,1,0,0,FALSE,FALSE
130,50378,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,12932.84,3.25,1827,0,0,0,0,1,12932.84,1827,FALSE,FALSE
131,50774,0,43465,43465,9,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,1035.26,2.79,609.33,0,0,0,0,1,1035.26,609.33,FALSE,FALSE
132,50797,0,43465,43465,2,0.031666667,5.333333333,0.023333333,1.666666667,0.02,11,0.02,1,9972.76,2.83,366.5,0,0,0,0,1,9972.76,366.5,FALSE,FALSE
